,Row Labels,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,Grand Total
0,Enforced return,3568,3236,3654,3470,3765,3277,3527,3997,3774,3786,3739,3835,3739,3911,3565,3635,3482,3351,3354,3354,3242,3315,3079,3285,2901,3062,2878,3062,3179,2888,2845,2829,2667,2367,2115,2089,1892,1799,1686,1817,1344,361,126721
1,Enforced removals from detention,3011,2794,3147,3011,3313,2801,2985,3340,3182,3091,3001,3028,2795,2902,2482,2645,2505,2645,2743,2688,2610,2665,2342,2538,2198,2314,2086,2209,2214,1885,1853,1819,1819,1583,1397,1350,1345,1223,1179,1209,977,109,97033
2,Non-detained Enforced removals,244,130,149,164,128,194,148,171,153,157,180,203,250,202,209,222,194,251,199,258,182,193,305,268,317,345,381,390,361,396,323,346,260,222,219,192,188,207,185,216,132,14,9448
3,Other returns from detention,313,312,358,295,324,282,394,486,439,538,558,604,694,807,874,768,783,455,412,408,450,457,432,479,386,403,411,463,604,607,669,664,588,562,499,547,359,369,322,392,235,238,20240
4,Refused entry at port and subsequently departed,4952,4575,4776,4143,3911,4010,4269,3779,3207,3253,3904,3681,3292,3662,4028,3799,3472,3949,4589,4549,3901,4228,4706,5247,4279,4505,4568,4564,4261,4178,5158,4923,4226,4476,5179,5772,4794,4242,4415,4848,3507,666,176443
5,Departed from Juxtaposed controls,1403,1500,1452,1304,1285,1346,1427,1224,935,990,1322,1231,1001,1066,1331,1135,1093,1313,1730,1718,1283,1573,1969,2516,1842,1850,1953,1849,1658,1688,2321,2206,1763,1940,2499,2629,2239,1800,2029,2267,1642,358,67680
6,Departed from UK Ports,3549,3075,3324,2839,2626,2664,2842,2555,2272,2263,2582,2450,2291,2596,2697,2664,2379,2636,2859,2831,2618,2655,2737,2731,2437,2655,2615,2715,2603,2490,2837,2717,2463,2536,2680,3143,2555,2442,2386,2581,1865,308,108763
7,Voluntary return,8350,7977,7909,7526,7827,5931,7623,8707,8025,7603,7494,7880,7971,7815,7842,8066,8122,6460,6566,6667,7397,7246,7810,7757,7957,7038,6972,6507,6465,4846,5002,4666,4763,3613,3742,3569,3706,3043,2694,2653,2477,430,262714
8,Assisted returns,1205,866,994,649,681,315,642,629,722,603,627,605,611,518,566,537,491,442,419,387,405,397,440,405,156,394,450,357,385,406,422,347,484,557,472,505,570,452,400,500,414,81,21508
9,Controlled returns,2035,2062,2082,2002,2216,2211,2456,2639,2097,1941,1998,1591,1647,2030,2406,2392,2619,2421,2533,2817,3362,3089,3410,3666,3711,2992,2763,2638,2620,2165,1970,1965,1807,1441,1304,1284,1209,961,799,738,633,145,88867
10,Other verified returns,5110,5049,4833,4875,4930,3405,4525,5439,5206,5059,4869,5684,5713,5267,4870,5137,5012,3597,3614,3463,3630,3760,3960,3686,4090,3652,3759,3512,3460,2275,2610,2354,2472,1615,1966,1780,1927,1630,1495,1415,1430,204,152339
11,Grand Total,16870,15788,16339,15139,15503,13218,15419,16483,15006,14642,15137,15396,15002,15388,15435,15500,15076,13760,14509,14570,14540,14789,15595,16289,15137,14605,14418,14133,13905,11912,13005,12418,11656,10456,11036,11430,10392,9084,8795,9318,7328,1457,565878
